bloque,semana_inicio,etapa,tipo,titulo,autor_creador,link,descripcion,gratis_o_pago
A,6,embarazo,articulo,Semana 6 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week6.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 6 de gestación.,gratis
A,6,embarazo,video,Náuseas en el embarazo: 5 trucos para eliminarlas,Maternar.co,https://www.youtube.com/watch?v=SoOUatKJTfQ,Consejos prácticos para aliviar las náuseas típicas del primer trimestre.,gratis
A,6,embarazo,frase,"Las náuseas son incómodas, pero también son una señal de que tu embarazo avanza.",Anónimo,,Frase de acompañamiento para la semana 6 de embarazo.,gratis
A,7,embarazo,articulo,Semana 7 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week7.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 7 de gestación.,gratis
A,7,embarazo,video,Náuseas en el embarazo: 5 trucos para eliminarlas,Maternar.co,https://www.youtube.com/watch?v=SoOUatKJTfQ,Consejos prácticos para aliviar las náuseas típicas del primer trimestre.,gratis
A,7,embarazo,frase,"Las náuseas son incómodas, pero también son una señal de que tu embarazo avanza.",Anónimo,,Frase de acompañamiento para la semana 7 de embarazo.,gratis
A,8,embarazo,articulo,Semana 8 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week8.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 8 de gestación.,gratis
A,8,embarazo,video,Náuseas en el embarazo: 5 trucos para eliminarlas,Maternar.co,https://www.youtube.com/watch?v=SoOUatKJTfQ,Consejos prácticos para aliviar las náuseas típicas del primer trimestre.,gratis
A,8,embarazo,frase,"Las náuseas son incómodas, pero también son una señal de que tu embarazo avanza.",Anónimo,,Frase de acompañamiento para la semana 8 de embarazo.,gratis
A,9,embarazo,articulo,Semana 9 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week9.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 9 de gestación.,gratis
A,9,embarazo,video,Ecografía semana 12 de embarazo: te explico todo lo que necesitas saber,Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=2RHTUU6Z_vY,"Explica qué se observa en la primera ecografía importante del embarazo, alrededor de la semana 12.",gratis
A,9,embarazo,frase,Cada latido que escuchás en la ecografía es una razón más para respirar tranquila.,Anónimo,,Frase de acompañamiento para la semana 9 de embarazo.,gratis
A,10,embarazo,articulo,Semana 10 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week10.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 10 de gestación.,gratis
A,10,embarazo,video,Ecografía semana 12 de embarazo: te explico todo lo que necesitas saber,Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=2RHTUU6Z_vY,"Explica qué se observa en la primera ecografía importante del embarazo, alrededor de la semana 12.",gratis
A,10,embarazo,frase,Cada latido que escuchás en la ecografía es una razón más para respirar tranquila.,Anónimo,,Frase de acompañamiento para la semana 10 de embarazo.,gratis
A,11,embarazo,articulo,Semana 11 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week11.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 11 de gestación.,gratis
A,11,embarazo,video,Ecografía semana 12 de embarazo: te explico todo lo que necesitas saber,Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=2RHTUU6Z_vY,"Explica qué se observa en la primera ecografía importante del embarazo, alrededor de la semana 12.",gratis
A,11,embarazo,frase,Cada latido que escuchás en la ecografía es una razón más para respirar tranquila.,Anónimo,,Frase de acompañamiento para la semana 11 de embarazo.,gratis
A,12,embarazo,articulo,Semana 12 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week12.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 12 de gestación.,gratis
A,12,embarazo,video,Ecografía semana 12 de embarazo: te explico todo lo que necesitas saber,Canal de divulgación sobre embarazo,https://www.youtube.com/watch?v=2RHTUU6Z_vY,"Explica qué se observa en la primera ecografía importante del embarazo, alrededor de la semana 12.",gratis
A,12,embarazo,frase,Cada latido que escuchás en la ecografía es una razón más para respirar tranquila.,Anónimo,,Frase de acompañamiento para la semana 12 de embarazo.,gratis
A,13,embarazo,articulo,Semana 13 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week13.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 13 de gestación.,gratis
A,13,embarazo,podcast,"Mi bebé y yo: Embarazo, bebés y familias",Podcast de seguimiento semanal del embarazo,https://open.spotify.com/show/6jwpKk8mKDAYrkfiwMDKpj,"Podcast que acompaña semana a semana los cambios del embarazo, ideal para el inicio del segundo trimestre.",gratis
A,13,embarazo,frase,El segundo trimestre suele traer más energía: aprovechá para descansar cuando puedas.,Anónimo,,Frase de acompañamiento para la semana 13 de embarazo.,gratis
A,14,embarazo,articulo,Semana 14 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week14.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 14 de gestación.,gratis
A,14,embarazo,podcast,"Mi bebé y yo: Embarazo, bebés y familias",Podcast de seguimiento semanal del embarazo,https://open.spotify.com/show/6jwpKk8mKDAYrkfiwMDKpj,"Podcast que acompaña semana a semana los cambios del embarazo, ideal para el inicio del segundo trimestre.",gratis
A,14,embarazo,frase,El segundo trimestre suele traer más energía: aprovechá para descansar cuando puedas.,Anónimo,,Frase de acompañamiento para la semana 14 de embarazo.,gratis
A,15,embarazo,articulo,Semana 15 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week15.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 15 de gestación.,gratis
A,15,embarazo,podcast,"Mi bebé y yo: Embarazo, bebés y familias",Podcast de seguimiento semanal del embarazo,https://open.spotify.com/show/6jwpKk8mKDAYrkfiwMDKpj,"Podcast que acompaña semana a semana los cambios del embarazo, ideal para el inicio del segundo trimestre.",gratis
A,15,embarazo,frase,El segundo trimestre suele traer más energía: aprovechá para descansar cuando puedas.,Anónimo,,Frase de acompañamiento para la semana 15 de embarazo.,gratis
A,16,embarazo,articulo,Semana 16 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week16.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 16 de gestación.,gratis
A,16,embarazo,podcast,"Mi bebé y yo: Embarazo, bebés y familias",Podcast de seguimiento semanal del embarazo,https://open.spotify.com/show/6jwpKk8mKDAYrkfiwMDKpj,"Podcast que acompaña semana a semana los cambios del embarazo, ideal para el inicio del segundo trimestre.",gratis
A,16,embarazo,frase,El segundo trimestre suele traer más energía: aprovechá para descansar cuando puedas.,Anónimo,,Frase de acompañamiento para la semana 16 de embarazo.,gratis
A,17,embarazo,articulo,Semana 17 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week17.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 17 de gestación.,gratis
A,17,embarazo,guia,¿Cómo es la ecografía morfológica de la semana 20 de embarazo?,Reproducción Asistida ORG,https://www.reproduccionasistida.org/faqs/como-es-la-ecografia-morfologica-de-la-semana-20-de-embarazo/,"Explica qué se revisa en la ecografía morfológica, uno de los controles más importantes del embarazo.",gratis
A,17,embarazo,frase,Sentir a tu bebé moverse por primera vez es un recordatorio de que ya no estás sola.,Anónimo,,Frase de acompañamiento para la semana 17 de embarazo.,gratis
A,18,embarazo,articulo,Semana 18 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week18.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 18 de gestación.,gratis
A,18,embarazo,guia,¿Cómo es la ecografía morfológica de la semana 20 de embarazo?,Reproducción Asistida ORG,https://www.reproduccionasistida.org/faqs/como-es-la-ecografia-morfologica-de-la-semana-20-de-embarazo/,"Explica qué se revisa en la ecografía morfológica, uno de los controles más importantes del embarazo.",gratis
A,18,embarazo,frase,Sentir a tu bebé moverse por primera vez es un recordatorio de que ya no estás sola.,Anónimo,,Frase de acompañamiento para la semana 18 de embarazo.,gratis
A,19,embarazo,articulo,Semana 19 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week19.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 19 de gestación.,gratis
A,19,embarazo,guia,¿Cómo es la ecografía morfológica de la semana 20 de embarazo?,Reproducción Asistida ORG,https://www.reproduccionasistida.org/faqs/como-es-la-ecografia-morfologica-de-la-semana-20-de-embarazo/,"Explica qué se revisa en la ecografía morfológica, uno de los controles más importantes del embarazo.",gratis
A,19,embarazo,frase,Sentir a tu bebé moverse por primera vez es un recordatorio de que ya no estás sola.,Anónimo,,Frase de acompañamiento para la semana 19 de embarazo.,gratis
A,20,embarazo,articulo,Semana 20 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week20.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 20 de gestación.,gratis
A,20,embarazo,guia,¿Cómo es la ecografía morfológica de la semana 20 de embarazo?,Reproducción Asistida ORG,https://www.reproduccionasistida.org/faqs/como-es-la-ecografia-morfologica-de-la-semana-20-de-embarazo/,"Explica qué se revisa en la ecografía morfológica, uno de los controles más importantes del embarazo.",gratis
A,20,embarazo,frase,Sentir a tu bebé moverse por primera vez es un recordatorio de que ya no estás sola.,Anónimo,,Frase de acompañamiento para la semana 20 de embarazo.,gratis
A,21,embarazo,articulo,Semana 21 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week21.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 21 de gestación.,gratis
A,21,embarazo,guia,Etapas del embarazo,"Oficina para la Salud de la Mujer (womenshealth.gov, en español)",https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/stages-pregnancy,Guía oficial sobre las etapas del embarazo y qué esperar a medida que el bebé se acerca a la viabilidad.,gratis
A,21,embarazo,frase,Tu bebé ya puede tener chances de sobrevivir fuera del útero si hiciera falta: cada semana suma fuerza.,Anónimo,,Frase de acompañamiento para la semana 21 de embarazo.,gratis
A,22,embarazo,articulo,Semana 22 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week22.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 22 de gestación.,gratis
A,22,embarazo,guia,Etapas del embarazo,"Oficina para la Salud de la Mujer (womenshealth.gov, en español)",https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/stages-pregnancy,Guía oficial sobre las etapas del embarazo y qué esperar a medida que el bebé se acerca a la viabilidad.,gratis
A,22,embarazo,frase,Tu bebé ya puede tener chances de sobrevivir fuera del útero si hiciera falta: cada semana suma fuerza.,Anónimo,,Frase de acompañamiento para la semana 22 de embarazo.,gratis
A,23,embarazo,articulo,Semana 23 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week23.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 23 de gestación.,gratis
A,23,embarazo,guia,Etapas del embarazo,"Oficina para la Salud de la Mujer (womenshealth.gov, en español)",https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/stages-pregnancy,Guía oficial sobre las etapas del embarazo y qué esperar a medida que el bebé se acerca a la viabilidad.,gratis
A,23,embarazo,frase,Tu bebé ya puede tener chances de sobrevivir fuera del útero si hiciera falta: cada semana suma fuerza.,Anónimo,,Frase de acompañamiento para la semana 23 de embarazo.,gratis
A,24,embarazo,articulo,Semana 24 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week24.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 24 de gestación.,gratis
A,24,embarazo,guia,Etapas del embarazo,"Oficina para la Salud de la Mujer (womenshealth.gov, en español)",https://espanol.womenshealth.gov/pregnancy/youre-pregnant-now-what/stages-pregnancy,Guía oficial sobre las etapas del embarazo y qué esperar a medida que el bebé se acerca a la viabilidad.,gratis
A,24,embarazo,frase,Tu bebé ya puede tener chances de sobrevivir fuera del útero si hiciera falta: cada semana suma fuerza.,Anónimo,,Frase de acompañamiento para la semana 24 de embarazo.,gratis
A,25,embarazo,articulo,Semana 25 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week25.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 25 de gestación.,gratis
A,25,embarazo,articulo,El test de O'Sullivan (la prueba del azúcar),El Parto es Nuestro,https://www.elpartoesnuestro.es/informacion/embarazo/seguimiento-del-embarazo/pruebas-durante-el-embarazo/el-test-de-osullivan-la,Explica en qué consiste el test de tolerancia a la glucosa que se realiza entre las semanas 24 y 28.,gratis
A,25,embarazo,frase,El tercer trimestre empieza: es momento de bajar el ritmo y planificar sin culpa.,Anónimo,,Frase de acompañamiento para la semana 25 de embarazo.,gratis
A,26,embarazo,articulo,Semana 26 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week26.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 26 de gestación.,gratis
A,26,embarazo,articulo,El test de O'Sullivan (la prueba del azúcar),El Parto es Nuestro,https://www.elpartoesnuestro.es/informacion/embarazo/seguimiento-del-embarazo/pruebas-durante-el-embarazo/el-test-de-osullivan-la,Explica en qué consiste el test de tolerancia a la glucosa que se realiza entre las semanas 24 y 28.,gratis
A,26,embarazo,frase,El tercer trimestre empieza: es momento de bajar el ritmo y planificar sin culpa.,Anónimo,,Frase de acompañamiento para la semana 26 de embarazo.,gratis
A,27,embarazo,articulo,Semana 27 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week27.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 27 de gestación.,gratis
A,27,embarazo,articulo,El test de O'Sullivan (la prueba del azúcar),El Parto es Nuestro,https://www.elpartoesnuestro.es/informacion/embarazo/seguimiento-del-embarazo/pruebas-durante-el-embarazo/el-test-de-osullivan-la,Explica en qué consiste el test de tolerancia a la glucosa que se realiza entre las semanas 24 y 28.,gratis
A,27,embarazo,frase,El tercer trimestre empieza: es momento de bajar el ritmo y planificar sin culpa.,Anónimo,,Frase de acompañamiento para la semana 27 de embarazo.,gratis
A,28,embarazo,articulo,Semana 28 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week28.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 28 de gestación.,gratis
A,28,embarazo,articulo,El test de O'Sullivan (la prueba del azúcar),El Parto es Nuestro,https://www.elpartoesnuestro.es/informacion/embarazo/seguimiento-del-embarazo/pruebas-durante-el-embarazo/el-test-de-osullivan-la,Explica en qué consiste el test de tolerancia a la glucosa que se realiza entre las semanas 24 y 28.,gratis
A,28,embarazo,frase,El tercer trimestre empieza: es momento de bajar el ritmo y planificar sin culpa.,Anónimo,,Frase de acompañamiento para la semana 28 de embarazo.,gratis
A,29,embarazo,articulo,Semana 29 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week29.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 29 de gestación.,gratis
A,29,embarazo,podcast,Tu Mejor Parto,myBabymyBirth®,https://www.mybabymybirth.com/podcast,"Podcast con matronas, obstetras y doulas sobre cómo prepararse física y emocionalmente para el parto.",gratis
A,29,embarazo,frase,"No hace falta tenerlo todo listo, hace falta estar en paz con lo que sí podés controlar.",Anónimo,,Frase de acompañamiento para la semana 29 de embarazo.,gratis
A,30,embarazo,articulo,Semana 30 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week30.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 30 de gestación.,gratis
A,30,embarazo,podcast,Tu Mejor Parto,myBabymyBirth®,https://www.mybabymybirth.com/podcast,"Podcast con matronas, obstetras y doulas sobre cómo prepararse física y emocionalmente para el parto.",gratis
A,30,embarazo,frase,"No hace falta tenerlo todo listo, hace falta estar en paz con lo que sí podés controlar.",Anónimo,,Frase de acompañamiento para la semana 30 de embarazo.,gratis
A,31,embarazo,articulo,Semana 31 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week31.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 31 de gestación.,gratis
A,31,embarazo,podcast,Tu Mejor Parto,myBabymyBirth®,https://www.mybabymybirth.com/podcast,"Podcast con matronas, obstetras y doulas sobre cómo prepararse física y emocionalmente para el parto.",gratis
A,31,embarazo,frase,"No hace falta tenerlo todo listo, hace falta estar en paz con lo que sí podés controlar.",Anónimo,,Frase de acompañamiento para la semana 31 de embarazo.,gratis
A,32,embarazo,articulo,Semana 32 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week32.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 32 de gestación.,gratis
A,32,embarazo,podcast,Tu Mejor Parto,myBabymyBirth®,https://www.mybabymybirth.com/podcast,"Podcast con matronas, obstetras y doulas sobre cómo prepararse física y emocionalmente para el parto.",gratis
A,32,embarazo,frase,"No hace falta tenerlo todo listo, hace falta estar en paz con lo que sí podés controlar.",Anónimo,,Frase de acompañamiento para la semana 32 de embarazo.,gratis
A,33,embarazo,articulo,Semana 33 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week33.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 33 de gestación.,gratis
A,33,embarazo,plantilla,Qué llevar en la bolsa del hospital para el parto (lista descargable),Guiainfantil.com,https://www.guiainfantil.com/embarazo/parto/que-llevar-en-la-bolsa-del-hospital-para-el-parto-lista-para-descargarse/,"Checklist imprimible con todo lo necesario para la maleta del hospital, para vos, el bebé y tu acompañante.",gratis
A,33,embarazo,frase,Tu cuerpo se está preparando para el parto aunque no lo sientas todos los días.,Anónimo,,Frase de acompañamiento para la semana 33 de embarazo.,gratis
A,34,embarazo,articulo,Semana 34 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week34.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 34 de gestación.,gratis
A,34,embarazo,plantilla,Qué llevar en la bolsa del hospital para el parto (lista descargable),Guiainfantil.com,https://www.guiainfantil.com/embarazo/parto/que-llevar-en-la-bolsa-del-hospital-para-el-parto-lista-para-descargarse/,"Checklist imprimible con todo lo necesario para la maleta del hospital, para vos, el bebé y tu acompañante.",gratis
A,34,embarazo,frase,Tu cuerpo se está preparando para el parto aunque no lo sientas todos los días.,Anónimo,,Frase de acompañamiento para la semana 34 de embarazo.,gratis
A,35,embarazo,articulo,Semana 35 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week35.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 35 de gestación.,gratis
A,35,embarazo,plantilla,Qué llevar en la bolsa del hospital para el parto (lista descargable),Guiainfantil.com,https://www.guiainfantil.com/embarazo/parto/que-llevar-en-la-bolsa-del-hospital-para-el-parto-lista-para-descargarse/,"Checklist imprimible con todo lo necesario para la maleta del hospital, para vos, el bebé y tu acompañante.",gratis
A,35,embarazo,frase,Tu cuerpo se está preparando para el parto aunque no lo sientas todos los días.,Anónimo,,Frase de acompañamiento para la semana 35 de embarazo.,gratis
A,36,embarazo,articulo,Semana 36 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week36.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 36 de gestación.,gratis
A,36,embarazo,plantilla,Qué llevar en la bolsa del hospital para el parto (lista descargable),Guiainfantil.com,https://www.guiainfantil.com/embarazo/parto/que-llevar-en-la-bolsa-del-hospital-para-el-parto-lista-para-descargarse/,"Checklist imprimible con todo lo necesario para la maleta del hospital, para vos, el bebé y tu acompañante.",gratis
A,36,embarazo,frase,Tu cuerpo se está preparando para el parto aunque no lo sientas todos los días.,Anónimo,,Frase de acompañamiento para la semana 36 de embarazo.,gratis
A,37,embarazo,articulo,Semana 37 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week37.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 37 de gestación.,gratis
A,37,embarazo,guia,Guía OMS de cuidados durante el trabajo de parto: manual del usuario,Organización Mundial de la Salud (OMS),https://iris.who.int/server/api/core/bitstreams/7f978b53-99c0-42ca-9b8e-c0adb24132a8/content,"Recomendaciones basadas en evidencia sobre los cuidados durante el trabajo de parto, útil a medida que se acerca la fecha probable de parto.",gratis
A,37,embarazo,frase,"Estás a término: tu bebé puede llegar en cualquier momento, y eso también está bien.",Anónimo,,Frase de acompañamiento para la semana 37 de embarazo.,gratis
A,38,embarazo,articulo,Semana 38 de embarazo: su cuerpo y su bebé,KidsHealth - Hospital Sant Joan de Déu,https://kidshealth.org/HospitalSantJoandeDeu/es/parents/week38.html,Calendario semanal ilustrado con el desarrollo del bebé y los cambios en el cuerpo de la madre en la semana 38 de gestación.,gratis
A,38,embarazo,guia,Guía OMS de cuidados durante el trabajo de parto: manual del usuario,Organización Mundial de la Salud (OMS),https://iris.who.int/server/api/core/bitstreams/7f978b53-99c0-42ca-9b8e-c0adb24132a8/content,"Recomendaciones basadas en evidencia sobre los cuidados durante el trabajo de parto, útil a medida que se acerca la fecha probable de parto.",gratis
