bloque,categoria,tipo,titulo,autor_creador,link,descripcion,gratis_o_pago
B,preparacion_parto,libro,Hipnoparto: preparación para un parto positivo,"Carmen Moreno, educadora prenatal especializada en hipnoparto",https://partopositivo.org/producto/libro-de-hipnoparto/,"Libro con 21 capítulos y ejercicios prácticos, basado en evidencia, para prepararse para un parto positivo.",pago
B,preparacion_parto,podcast,Tu Mejor Parto,myBabymyBirth®,https://www.mybabymybirth.com/podcast,"Podcast con matronas, obstetras, doulas y psicólogas sobre cómo prepararse para el parto.",gratis
B,preparacion_parto,plantilla,Qué llevar en la bolsa del hospital para el parto (lista descargable),Guiainfantil.com,https://www.guiainfantil.com/embarazo/parto/que-llevar-en-la-bolsa-del-hospital-para-el-parto-lista-para-descargarse/,"Checklist imprimible con todo lo necesario para la maleta del hospital, para vos, el bebé y tu acompañante.",gratis
B,preparacion_parto,guia,Guía de Práctica Clínica sobre la Atención al Parto Normal (versión completa),Ministerio de Sanidad de España,https://www.sanidad.gob.es/areas/calidadAsistencial/estrategias/atencionPartoNormal/docs/guiaPracClinPartoCompleta.pdf,Guía extensa con toda la evidencia científica disponible para prepararse para un parto respetado.,gratis
B,preparacion_parto,frase,Prepararte para el parto no es controlarlo todo: es llegar con más herramientas y menos miedo.,Anónimo,,Frase sobre el verdadero sentido de la preparación al parto.,gratis
B,preparacion_parto,frase,Respirá. Tu cuerpo y tu bebé están trabajando juntos.,Anónimo,,Frase breve para repetir durante los ejercicios de respiración.,gratis
B,preparacion_parto,frase,"No necesitás ser valiente, necesitás estar acompañada e informada.",Anónimo,,Frase que resta presión a la idea de tener que 'aguantar' el parto sola.,gratis
B,lactancia,guia,Guía de Práctica Clínica sobre lactancia materna,Ministerio de Sanidad de España / GuíaSalud,https://www.sanidad.gob.es/organizacion/sns/planCalidadSNS/docs/GPC_560_Lactancia_Osteba_compl-1.pdf,Guía oficial con recomendaciones basadas en evidencia sobre lactancia materna.,gratis
B,lactancia,guia,Guía familiar de lactancia materna y alimentación complementaria,UNICEF,https://www.unicef.org/panama/media/2636/file/LACTANCIA%20MATERNA%20GU%C3%8DA%20.pdf,Guía práctica pensada para familias sobre lactancia y alimentación complementaria.,gratis
B,lactancia,articulo,Alimentación del lactante y del niño pequeño,Organización Mundial de la Salud (OMS),https://www.who.int/es/news-room/fact-sheets/detail/infant-and-young-child-feeding,Ficha informativa oficial de la OMS sobre lactancia materna exclusiva y alimentación complementaria.,gratis
B,lactancia,libro,Un regalo para toda la vida: guía de la lactancia materna,"Carlos González, pediatra",https://www.casadellibro.com/libro-un-regalo-para-toda-la-vida-guia-de-la-lactancia-materna/9788484605539/1079315,Guía clásica y accesible sobre la fisiología de la lactancia y cómo resolver las dudas más comunes.,pago
B,lactancia,podcast,Lactando,"Asociación Lactando, con Almudena Pernas (matrona e IBCLC)",https://open.spotify.com/show/3yLyQBjK9IeVUDP0pqdRJa,Podcast con matronas y consultoras certificadas en lactancia que comparten experiencias y consejos.,gratis
B,lactancia,podcast,La Primera Leche,"Vanessa, consultora certificada IBCLC",https://podcasts.apple.com/es/podcast/la-primera-leche/id1484215816,Historias de lactancia y consejos prácticos de la mano de una consultora certificada en lactancia.,gratis
B,lactancia,plantilla,Hoja de registro de lactancia,Pediatría Humanizada,https://pediatriahumanizada.com/hoja-de-registro-de-lactancia/,"Plantilla descargable para anotar horario, duración y lado de cada toma.",gratis
B,lactancia,articulo,Documentos sobre lactancia materna,Asociación IHAN (Iniciativa para la Humanización de la Asistencia al Nacimiento y la Lactancia),https://www.ihan.es/recursos/documentos-sobre-lactancia-materna/,Recopilación de documentos y recursos oficiales sobre lactancia materna avalados por IHAN.,gratis
B,lactancia,frase,No hay leche mala: hay lactancias distintas y todas merecen apoyo.,Anónimo,,Frase para visibilizar que no existe una única forma correcta de amamantar.,gratis
B,lactancia,frase,Amamantar se aprende: no es un instinto perfecto desde el primer día.,Anónimo,,Frase que normaliza las dificultades iniciales de la lactancia.,gratis
B,lactancia,frase,"Pedir ayuda con la lactancia es un acto de amor, no de fracaso.",Anónimo,,Frase para animar a buscar apoyo profesional en lactancia.,gratis
B,recuperacion_fisica_postparto,articulo,Postparto: claves para la rehabilitación del suelo pélvico,"Núria Caballé, fisioterapeuta especializada en suelo pélvico",https://nuriacaballe.com/blog/article/23&lang=esp,Explica el proceso de recuperación del suelo pélvico tras el parto y cuándo acudir a fisioterapia.,gratis
B,recuperacion_fisica_postparto,guia,Guía de Ejercicios Postparto,Suelo Pélvico Valencia (clínica especializada),https://www.suelopelvico.eu/guia-de-ejercicios-postparto/,Guía con ejercicios seguros y progresivos para la recuperación del suelo pélvico y el abdomen tras el parto.,gratis
B,recuperacion_fisica_postparto,articulo,Ejercicios para el piso pélvico para después del parto,Kaiser Permanente en español,https://espanol.kaiserpermanente.org/es/health-wellness/health-encyclopedia/he.ejercicios-para-el-piso-p%C3%A9lvico-para-despu%C3%A9s-del-parto.acn5187,Recomendaciones médicas sobre ejercicios de suelo pélvico recomendados tras el parto.,gratis
B,recuperacion_fisica_postparto,podcast,"Pélvium, tu podcast sobre suelo pélvico",Fisioterapeutas especializadas en suelo pélvico,https://podcasts.apple.com/es/podcast/p%C3%A9lvium-tu-podcast-sobre-suelo-p%C3%A9lvico/id1470902032,"Podcast dedicado a la salud del suelo pélvico, con episodios sobre diástasis y recuperación postparto.",gratis
B,recuperacion_fisica_postparto,articulo,Diástasis abdominal postparto después del embarazo,En Suelo Firme (fisioterapia especializada),https://www.ensuelofirme.com/diastasis-abdominal-postparto/,Explica qué es la diástasis abdominal y cómo abordarla de forma segura tras el parto.,gratis
B,recuperacion_fisica_postparto,plantilla,Posparto: ahora que ha dado a luz (folleto de recuperación),UCSF Women's Health (versión en español),https://womenshealth.ucsf.edu/sites/womenshealth.ucsf.edu/files/spanish_pp_booklet.pdf,Folleto informativo con pautas de autocuidado físico para las primeras semanas de posparto.,gratis
B,recuperacion_fisica_postparto,articulo,Cuidados y recuperación postparto,Instituto de Suelo Pélvico,https://www.institutosuelopelvico.es/isp-cuidados-postparto/,Recomendaciones sobre gimnasia abdominal hipopresiva y recuperación física tras el parto.,gratis
B,recuperacion_fisica_postparto,libro,"Fisioterapia del suelo pélvico: manual para la prevención y el tratamiento en la mujer, el hombre y la infancia",Obra colectiva especializada en fisioterapia uroginecológica,https://dialnet.unirioja.es/servlet/libro?codigo=970125,"Manual de referencia técnica sobre fisioterapia del suelo pélvico, incluido el abordaje postparto.",pago
B,recuperacion_fisica_postparto,frase,Tu cuerpo cargó una vida durante nueve meses: dale tiempo para recuperarse.,Anónimo,,Frase para bajar la exigencia sobre el ritmo de recuperación física.,gratis
B,recuperacion_fisica_postparto,frase,La cuarentena no es una carrera: es un proceso de sanación.,Anónimo,,Frase sobre el descanso activo en las primeras semanas de postparto.,gratis
B,recuperacion_fisica_postparto,frase,Cuidar tu suelo pélvico hoy es cuidar tu cuerpo por el resto de tu vida.,Anónimo,,Frase para motivar la consulta con fisioterapia de suelo pélvico.,gratis
B,salud_mental_postparto,libro,Psicología del posparto,"Esther Ramírez Matos, Instituto Europeo de Salud Mental Perinatal",https://iboneolza.org/2020/09/07/psicologia-del-posparto-de-esther-ramirez-matos/,Libro sobre los procesos psicológicos y emocionales que atraviesa la mujer en el posparto.,pago
B,salud_mental_postparto,libro,Parir,"Ibone Olza, psiquiatra infantil y perinatal",https://iboneolza.org/en/publicaciones/,Libro que aborda la psicología del parto y su impacto emocional en la mujer.,pago
B,salud_mental_postparto,articulo,Publicaciones de Ibone Olza sobre salud mental perinatal,"Ibone Olza, psiquiatra perinatal",https://iboneolza.org/en/publicaciones/,Recopilación de artículos sobre depresión posparto y estrés postraumático posparto.,gratis
B,salud_mental_postparto,podcast,Bienestar emocional en embarazo y posparto,Especialista en psiquiatría perinatal,https://open.spotify.com/show/48XX6JntF5QBfZ89aev3CF,Podcast centrado en el cuidado de la salud mental durante el embarazo y el posparto.,gratis
B,salud_mental_postparto,podcast,La vida secreta de las madres,Andrea Ros (comunicadora perinatal) y Paola Roig (psicóloga perinatal),https://podimo.com/es/shows/la-vida-secreta-de-las-madres,"Conversaciones honestas sobre carga mental, posparto y salud mental materna.",pago
B,salud_mental_postparto,podcast,Sonidos de Psicología: Psicología Perinatal Preventiva y e-Health,"Infocop, Consejo General de la Psicología de España",https://www.infocop.es/podcast-sonidos-de-psicologia-psicologia-perinatal-preventiva-y-e-health/,Episodio sobre el cuidado emocional desde la concepción hasta el primer año del bebé.,gratis
B,salud_mental_postparto,guia,Nuestros libros de psicología perinatal,Instituto Europeo de Salud Mental Perinatal,https://saludmentalperinatal.es/nuestros-libros-de-psicologia-perinatal/,Recopilación de recursos y libros sobre salud mental perinatal recomendados por especialistas.,gratis
B,salud_mental_postparto,frase,"Lo que sentís después de tener un bebé también importa, y no tenés que atravesarlo sola.",Anónimo,,Frase para validar las emociones difíciles del posparto.,gratis
B,salud_mental_postparto,frase,"Pedir ayuda psicológica en el posparto no es debilidad, es cuidado.",Anónimo,,Frase para reducir el estigma de buscar apoyo en salud mental perinatal.,gratis
B,salud_mental_postparto,frase,No sos una mala madre por sentirte triste o abrumada: sos una madre humana.,Anónimo,,Frase de contención frente a la culpa asociada a las emociones difíciles del posparto.,gratis
B,sueno,articulo,Recomendaciones de sueño en lactantes,Asociación Española de Pediatría (AEP),https://www.aeped.es/enfamilia/salud-en-familia/recomendaciones-de-sueno-en-lactantes,Recomendaciones oficiales de pediatras sobre el sueño seguro de bebés y lactantes.,gratis
B,sueno,articulo,¿Qué debemos saber sobre el sueño del recién nacido?,HM Nens (hospital),https://www.hmhospitales.com/hm-nens/blog/sueno-y-recien-nacido/,Explica los patrones normales de sueño del recién nacido durante los primeros meses.,gratis
B,sueno,articulo,Lactancia materna y sueño,Alba Lactancia Materna,https://albalactanciamaterna.org/lactancia/tema-6-lactancia-y-crianza/lactancia-materna-y-sueno/,Explica la relación entre la lactancia materna y los patrones de sueño del bebé.,gratis
B,sueno,guia,"Sueño seguro, lactancia y colecho",Sociedad Uruguaya de Pediatría (SUP),https://www.sup.org.uy/wp-content/uploads/2021/12/Recomendaciones-sueno-seguro-y-lactancia.pdf,Recomendaciones oficiales sobre cómo practicar el colecho de la forma más segura posible.,gratis
B,sueno,libro,Dormir sin lágrimas: dejarle llorar no es la solución,"Rosa Jové, psicóloga infantil",https://www.casadellibro.com/libro-dormir-sin-lagrimas-dejarle-llorar-no-es-la-solucion/9788497346474/1141288,"Libro de referencia sobre el sueño infantil desde una mirada respetuosa, sin métodos de adiestramiento.",pago
B,sueno,plantilla,Rutina modelo para bebés de 4-5 meses,The Baby Sleep Club,https://thebabysleepclub.com/wp-content/uploads/2023/11/Descargable_Rutina-Modelo-4-5M.pdf,Plantilla descargable con horarios orientativos de sueño y siestas para adaptar en casa.,gratis
B,sueno,plantilla,Rutina modelo para bebés de 6 meses,The Baby Sleep Club,https://thebabysleepclub.com/wp-content/uploads/2023/08/Rutina_Modelo_Bebe_6M.pdf,Plantilla con horario modelo de sueño y siestas para adaptar según cada familia.,gratis
B,sueno,frase,No existe una fórmula mágica para el sueño de tu bebé: existe su propio ritmo.,Anónimo,,Frase para bajar la presión sobre los horarios de sueño 'ideales'.,gratis
B,sueno,frase,"Despertarse de noche no es un problema a resolver, es una etapa del desarrollo.",Anónimo,,Frase para normalizar los despertares nocturnos del bebé.,gratis
B,sueno,frase,Dormir mal unas semanas no define cómo va a dormir tu bebé para siempre.,Anónimo,,Frase de aliento frente al cansancio de las primeras semanas.,gratis
B,cuidados_recien_nacido,articulo,Cuidados del cordón umbilical,"Asociación Española de Pediatría (AEP), Salud en Familia",https://www.aeped.es/enfamilia/salud-en-familia/cuidados-cordon-umbilical,Explica cómo cuidar el cordón umbilical del recién nacido de forma segura.,gratis
B,cuidados_recien_nacido,articulo,Cuidados del bebé recién nacido,"Asociación Española de Pediatría (AEP), Salud en Familia",https://www.aeped.es/enfamilia/salud-en-familia/cuidados-bebe-recien-nacido,Guía general de cuidados básicos del recién nacido avalada por pediatras.,gratis
B,cuidados_recien_nacido,guia,Cuidados del recién nacido: recomendaciones a seguir tras el alta hospitalaria,Servicio Andaluz de Salud,https://www.sspa.juntadeandalucia.es/servicioandaluzdesalud/hrs3/fileadmin/user_upload/area_medica/obstetricia_ginecologia/cuidados_recien_nacido.pdf,Guía oficial con recomendaciones para las primeras semanas en casa con el recién nacido.,gratis
B,cuidados_recien_nacido,video,Cómo cuidar al bebé recién nacido en casa,Pediatra (canal de divulgación pediátrica),https://www.youtube.com/watch?v=l5EcmjvjjLQ,Una pediatra responde las dudas más comunes sobre el cuidado del recién nacido en casa.,gratis
B,cuidados_recien_nacido,video,Cómo y cuándo bañar a un bebé recién nacido,Canal de pediatría y crianza,https://www.youtube.com/watch?v=lJMDbhGdguY,Explicación paso a paso de cómo dar el primer baño al recién nacido.,gratis
B,cuidados_recien_nacido,video,Consejos prácticos para cuidar a tu bebé los primeros días,Clínica Alemana,https://www.youtube.com/watch?v=deKKmnLfmYQ,Recomendaciones médicas sobre el cuidado del bebé en sus primeros días de vida.,gratis
B,cuidados_recien_nacido,libro,"Ser mamá. Guía de embarazo, parto y posparto con evidencia y emoción","Nazareth Olivera Belart, matrona e IBCLC",https://www.penguinlibros.com/us/196977-nazareth-olivera-belart,Incluye una sección dedicada a los cuidados del recién nacido en las primeras semanas.,pago
B,cuidados_recien_nacido,frase,No necesitás saberlo todo el primer día: vas a aprender junto a tu bebé.,Anónimo,,Frase para bajar la ansiedad de las primeras semanas con el recién nacido.,gratis
B,cuidados_recien_nacido,frase,"Cada bebé viene con su propio manual de instrucciones, y lo vas a ir descubriendo.",Anónimo,,Frase que valida el proceso de conocer al bebé día a día.,gratis
B,cuidados_recien_nacido,frase,Confiá en tu instinto: nadie conoce a tu bebé como vos.,Anónimo,,Frase de aliento para fortalecer la confianza materna.,gratis
B,pareja_acompanante,articulo,El rol de los acompañantes en el parto,LacTed,https://www.lacted.com/post/el-rol-de-los-acompa%C3%B1antes-en-el-parto,Explica la importancia y las funciones concretas del acompañante durante el parto.,gratis
B,pareja_acompanante,articulo,El papel del padre en el parto: acompañar sin entorpecer,Instituto Europeo de Salud Mental Perinatal,https://saludmentalperinatal.es/el-papel-del-padre-en-el-parto-acompanar-sin-entorpecer/,Reflexión desde la psicología perinatal sobre el rol del padre o acompañante durante el parto.,gratis
B,pareja_acompanante,articulo,El rol de la pareja en el postparto,Casa de Parto,https://casadeparto.cl/blogs/news/el-rol-de-la-pareja-en-el-postparto,Aborda cómo la pareja puede apoyar de forma activa durante la etapa del posparto.,gratis
B,pareja_acompanante,articulo,La pareja en el parto: ¿acompañante ideal o estorbo?,Psicología para Todos,https://www.psicologiaparatodos.org/la-pareja-en-el-parto-acompanante-ideal-o-estorbo/,"Analiza, desde la psicología, cómo puede la pareja acompañar de forma efectiva durante el parto.",gratis
B,pareja_acompanante,podcast,La Magia y el Caos de ser Padres - Paternidad Activa: Rol del Papá en el Parto y la Crianza,Podcast de paternidad,https://open.spotify.com/episode/6qXdsSY4MVmrxc0xox9DGI,Tres padres comparten sus experiencias acompañando el parto y los primeros tiempos de crianza.,gratis
B,pareja_acompanante,podcast,La Figura del Padre. Paternidad a Tope,Podcast de paternidad,https://podcasts.apple.com/us/podcast/la-figura-del-padre-paternidad-a-tope/id1581176052,Podcast pensado para acompañar a los padres antes y después del nacimiento.,gratis
B,pareja_acompanante,articulo,Acompañamiento al parto,Zona Hospitalaria,https://zonahospitalaria.com/acompanamiento-al-parto/,Información práctica sobre qué implica ser la persona de acompañamiento durante el parto.,gratis
B,pareja_acompanante,frase,"Acompañar no es tener todas las respuestas, es estar presente.",Anónimo,,Frase sobre el verdadero rol del acompañante en el parto y el posparto.,gratis
B,pareja_acompanante,frase,El posparto también se vive en pareja: cuídense mutuamente.,Anónimo,,Frase que invita a sostener el vínculo de pareja durante el posparto.,gratis
B,pareja_acompanante,frase,"Preguntale a tu pareja cómo puede ayudar, no asumas que ya lo sabe.",Anónimo,,Frase práctica para mejorar la comunicación en pareja durante la crianza temprana.,gratis
B,nutricion,guia,Guía de alimentación para embarazadas,"SEEDO, Sociedad Española para el Estudio de la Obesidad",https://www.seedo.es/images/Guia_Alimentacion_Embazaradas_Medicadiet.pdf,Guía con pautas nutricionales oficiales recomendadas para cada etapa del embarazo.,gratis
B,nutricion,guia,Alimentación durante el embarazo,"UNED, Universidad Nacional de Educación a Distancia",https://www.uned.es/universidad/dam/inicio/estudios/formacion-permanente/cursos/pea-nutricion-y-dietetica/guia/PDF/Guia-de-Alimentacion-y-Salud---Embarazo.pdf,Guía académica sobre los requerimientos nutricionales durante el embarazo.,gratis
B,nutricion,articulo,Alimentación y nutrición de la madre durante la lactancia,Reproducción Asistida ORG,https://www.reproduccionasistida.org/alimentacion-lactancia/,Explica qué necesita comer la madre durante la lactancia para una leche de calidad.,gratis
B,nutricion,articulo,Alimentación del lactante y del niño pequeño,Organización Mundial de la Salud (OMS),https://www.who.int/es/news-room/fact-sheets/detail/infant-and-young-child-feeding,Ficha oficial de la OMS sobre lactancia y alimentación complementaria.,gratis
B,nutricion,plantilla,Menús para embarazadas semana a semana,Guiainfantil.com,https://www.guiainfantil.com/articulos/alimentacion/embarazo/menus-para-embarazadas-semana-a-semana/,"Menús elaborados por nutricionistas colaboradores, organizados por semanas de embarazo.",gratis
B,nutricion,articulo,Alimentación en el embarazo,Mis Matronas,https://mismatronas.com/wp-content/uploads/2020/02/Alimentaci%C3%B3n-en-el-embarazo.pdf,Documento elaborado por matronas con recomendaciones nutricionales por trimestre.,gratis
B,nutricion,articulo,Nutrición y seguridad alimentaria durante el embarazo,UW Medicine (versión en español),https://www.uwmedicine.org/sites/stevie/files/2018-11/PatientResources_Forms_Nutrition-Food-Safety-Pregnancy-Spanish.pdf,Recomendaciones médicas sobre seguridad alimentaria y nutrición durante el embarazo.,gratis
B,nutricion,frase,"Comer bien en el embarazo no significa comer perfecto, significa comer variado.",Anónimo,,Frase para bajar la exigencia sobre la alimentación durante el embarazo.,gratis
B,nutricion,frase,Tu cuerpo sabe pedir lo que necesita: aprendé a escucharlo.,Anónimo,,Frase sobre la conexión entre antojos y necesidades nutricionales reales.,gratis
B,nutricion,frase,"La leche materna se hace con lo que comés en general, no con un alimento mágico.",Anónimo,,Frase para desmitificar los 'alimentos milagro' para aumentar la producción de leche.,gratis
B,ejercicio_postparto,guia,Guía de Ejercicios Postparto,Suelo Pélvico Valencia,https://www.suelopelvico.eu/guia-de-ejercicios-postparto/,Guía con una rutina progresiva de ejercicios seguros para retomar la actividad física tras el parto.,gratis
B,ejercicio_postparto,articulo,Ejercicios de core para reducir la diástasis abdominal postparto,ABFIT.ES,https://abfit.es/ejercicios-de-core-para-reducir-la-diastasis-abdominal-postparto/,Explica qué ejercicios de core son seguros para trabajar la diástasis abdominal.,gratis
B,ejercicio_postparto,articulo,"Diástasis abdominal: ejercicios, qué hacer y qué evitar",bhealthy.es,https://bhealthy.es/ejercicios-para-disminuir-la-diastasis-abdominal/,Lista de ejercicios recomendados y contraindicados en presencia de diástasis abdominal.,gratis
B,ejercicio_postparto,articulo,"Postparto: los secretos para recuperar tu cuerpo, abdomen y suelo pélvico",Luce tu Embarazo,https://lucetuembarazo.com/ejercicios-postparto/,Guía completa sobre cuándo y cómo retomar el ejercicio físico después del parto.,gratis
B,ejercicio_postparto,articulo,Ejercicios para el piso pélvico para después del parto,Kaiser Permanente en español,https://espanol.kaiserpermanente.org/es/health-wellness/health-encyclopedia/he.ejercicios-para-el-piso-p%C3%A9lvico-para-despu%C3%A9s-del-parto.acn5187,Ejercicios recomendados por profesionales médicos para fortalecer el piso pélvico en el postparto.,gratis
B,ejercicio_postparto,libro,"Fisioterapia del suelo pélvico: manual para la prevención y el tratamiento en la mujer, el hombre y la infancia",Obra colectiva especializada en fisioterapia uroginecológica,https://dialnet.unirioja.es/servlet/libro?codigo=970125,Manual de referencia técnica sobre fisioterapia del suelo pélvico aplicable al ejercicio postparto.,pago
B,ejercicio_postparto,podcast,"Pélvium, tu podcast sobre suelo pélvico",Fisioterapeutas especializadas en suelo pélvico,https://podcasts.apple.com/es/podcast/p%C3%A9lvium-tu-podcast-sobre-suelo-p%C3%A9lvico/id1470902032,Episodios sobre ejercicio seguro y recuperación física progresiva tras el parto.,gratis
B,ejercicio_postparto,frase,"Volver a moverte no es volver a como eras antes, es avanzar desde donde estás ahora.",Anónimo,,Frase para replantear la idea de 'recuperar el cuerpo de antes'.,gratis
B,ejercicio_postparto,frase,"Antes de hacer abdominales, hacé las paces con tu abdomen.",Anónimo,,Frase que invita a un regreso consciente y gradual al ejercicio postparto.,gratis
B,ejercicio_postparto,frase,El movimiento suave y constante recupera más que el esfuerzo intenso y esporádico.,Anónimo,,Frase sobre la importancia de la constancia por sobre la intensidad en el postparto.,gratis
B,ejercicio_postparto,video,Entrenadora Embarazo y Postparto Online,"Lucía Mingorance, entrenadora personal",https://www.instagram.com/luciamingorance_ep/,Cuenta especializada en entrenamiento seguro durante el embarazo y el postparto.,gratis
B,ejercicio_postparto,video,OWA Entrenamiento Mujer,"Dra. Lidia Romero, entrenamiento en embarazo y postparto",https://www.instagram.com/owa_entrenamiento_mujer/,Entrenamiento postparto basado en evidencia científica con progresión segura.,gratis
B,ejercicio_postparto,video,Silvia Soriano Fisioterapia,"Silvia Soriano, fisioterapeuta especializada en suelo pélvico",https://www.instagram.com/silviasorianofosas/,Contenido sobre ejercicio seguro y recuperación del suelo pélvico tras el parto.,gratis
B,ejercicio_postparto,frase,El objetivo no es 'recuperar tu cuerpo': es fortalecer el cuerpo que tenés ahora.,Anónimo,,Frase para replantear la exigencia estética sobre el ejercicio postparto.,gratis
B,sueno,video,Duermebel,"Belén Clemares, coach de sueño infantil certificada",https://www.instagram.com/duermebel/,Consejos prácticos y sin juicios sobre el sueño del bebé en distintas etapas.,gratis
B,sueno,articulo,Sueño seguro: cómo debe dormir el bebé,UNICEF Uruguay,https://www.unicef.org/uruguay/crianza/primeros-anos/sueno-seguro-como-debe-dormir-el-bebe,Recomendaciones oficiales de UNICEF sobre cómo reducir el riesgo de muerte súbita del lactante durante el sueño.,gratis
B,sueno,frase,Un bebé que se despierta buscándote de noche no te está poniendo a prueba: te está buscando.,Anónimo,,Frase para resignificar los despertares nocturnos desde el vínculo.,gratis
B,cuidados_recien_nacido,video,Doctora Di Pediatra,"Diana Álvarez, pediatra",https://www.youtube.com/c/DoctoraDipediatra,Videos breves y claros sobre el cuidado del recién nacido basados en evidencia.,gratis
B,cuidados_recien_nacido,frase,No hay una única forma correcta de sostener: cambiar o calmar a un bebé; hay muchas formas que funcionan.,Anónimo,,Frase para bajar la presión sobre 'hacerlo perfecto' con el recién nacido.,gratis
B,pareja_acompanante,video,Duo en Consultorio,"Lucía de Martin y Maximiliano Álvarez, médicos",https://www.instagram.com/duoenconsultorio/,Contenido con humor y cercanía sobre el postparto y la paternidad en pareja.,gratis
B,pareja_acompanante,articulo,La pareja en el posparto: una nueva etapa,Espacio Mente y Salud (equipo de psicología y terapia de pareja),https://espaciomenteysalud.es/la-pareja-en-el-postparto-una-nueva-etapa/,Aborda desde la psicología los cambios en la relación de pareja tras la llegada de un bebé y cómo comunicarse mejor.,gratis
B,pareja_acompanante,frase,No compitan por quién está más cansado: son un equipo y no rivales.,Anónimo,,Frase sobre cómo sostener la alianza de pareja en el posparto.,gratis
B,nutricion,video,Viviana Fumero Nutrición,"Viviana Fumero, nutricionista especializada en embarazo, lactancia y posparto",https://www.instagram.com/vivifumeronutricion/,Consejos prácticos y accesibles sobre alimentación durante el embarazo y la lactancia.,gratis
B,nutricion,frase,No existe un alimento mágico que arregle o arruine tu lactancia: existe la alimentación variada de cada día.,Anónimo,,Frase para desmitificar los alimentos 'prohibidos' o 'milagro' en la lactancia.,gratis
B,salud_mental_postparto,video,Psi Florencia Field,"Florencia Field, psicóloga especializada en salud mental perinatal",https://www.instagram.com/psiflorenciafield/,"Contenido validante sobre las emociones del embarazo, el puerperio y el duelo perinatal.",gratis
